trial,accuracy,inference_ms,n_parameters,n_conv_layers,channels_0,channels_1,learning_rate,batch_size,n_epochs,dropout_rate,optimizer_type,input_resolution,channels_2,channels_3
0,0.9127,0.43795364908874035,458090,2,16,96.0,0.0004335281794951569,256,8,0.14561457009902096,Adam,24,,
4,0.8986,0.8121161488816142,15370,4,16,16.0,0.0001290211302456716,32,14,0.11978094533348621,RMSprop,24,32.0,16.0
7,0.9103,0.5176234990358353,109066,3,64,64.0,0.0007644457600399744,64,10,0.4680773870803905,Adam,20,64.0,
12,0.9126,0.42490968480706215,244042,2,64,64.0,0.0005561130883393327,64,8,0.3766121970132361,Adam,20,,
13,0.9119,0.3406527219340205,821386,1,64,,0.0005035305098687468,64,11,0.3950502444479188,Adam,20,,
15,0.9016,0.4908766597509384,86250,2,64,32.0,0.00038508420504260063,64,9,0.4097873495499178,Adam,16,,
17,0.9038,0.4204031080007553,95850,2,96,32.0,0.0011608243369206365,128,12,0.2898926965247161,Adam,16,,
19,0.8581,0.3403378650546074,789002,1,96,,0.0015760968305784536,128,12,0.29529088918580854,SGD,16,,
21,0.8956,0.46119040343910456,81450,2,48,32.0,0.00028675894354210666,128,8,0.3497498142413083,Adam,16,,
29,0.9054,0.3676250344142318,296522,1,16,,0.008526267717417447,256,10,0.08922152697711369,Adam,24,,
31,0.9147,0.4380348837003112,158570,2,32,32.0,0.003103160629192513,256,14,0.2902146563395901,Adam,24,,
32,0.9186,0.5103581584990025,158570,2,32,32.0,0.003196407508809395,256,14,0.28300041599507186,Adam,24,,
36,0.9127,0.5735468352213502,47306,4,16,32.0,0.001220387314033677,32,14,0.017443324666743365,Adam,28,48.0,48.0
39,0.9113,0.38786979857832193,207018,2,16,32.0,0.00019035842685451875,128,15,0.005241054561194013,RMSprop,28,,
40,0.9184,0.5746026756241918,146138,3,128,16.0,0.00019721574263778117,128,15,0.14808183215241744,RMSprop,28,96.0,
46,0.9236,0.4991468507796526,715946,2,128,96.0,0.0006692547322168579,128,14,0.0690616004538262,Adam,28,,
49,0.8934,0.4930976079776883,17002,3,32,16.0,0.0074193453960693465,128,11,0.19338648638985312,RMSprop,16,16.0,
50,0.9078,0.5126914475113153,27242,3,32,16.0,0.005538741440460952,128,10,0.17944878430752653,RMSprop,28,16.0,
52,0.8825,0.4035264253616333,36730,2,16,16.0,0.012167480296059624,128,11,0.149356529495163,RMSprop,16,,
53,0.8708,0.38242547307163477,36730,2,16,16.0,0.015903383098159758,128,11,0.14219966733627443,RMSprop,16,,
55,0.8342,0.2873342717066407,296522,1,16,,0.023703850330433904,64,10,0.16392070338955872,RMSprop,24,,
56,0.8653,0.37203950341790915,36730,2,16,16.0,0.020365530919256324,64,10,0.16970936144640658,RMSprop,16,,
58,0.7642,0.3676439169794321,36730,2,16,16.0,0.039430429986460014,64,9,0.20879931240658056,RMSprop,16,,
59,0.8732,0.3737753489986062,104314,2,16,16.0,0.020090423128016992,64,7,0.15253913380112982,RMSprop,28,,
