trial,accuracy,inference_ms,n_parameters,n_conv_layers,channels_0,channels_1,learning_rate,batch_size,n_epochs,dropout_rate,optimizer_type,input_resolution,channels_2,channels_3
0,0.9104,0.49237776547670364,458090,2,16,96.0,0.0004335281794951569,256,8,0.14561457009902096,Adam,24,,
1,0.8906,1.3325039995834231,104570,3,128,16.0,0.0008612579192594886,256,13,0.46974947078209456,RMSprop,28,64.0,
2,0.8835,0.4665748914703727,316826,2,32,48.0,0.02795015916508337,128,7,0.05793452976256486,Adam,28,,
3,0.8963,0.5314196925610304,128666,3,16,16.0,0.001702741688676441,32,5,0.46484882617128653,RMSprop,24,96.0,
4,0.8983,0.6177365314215422,15370,4,16,16.0,0.0001290211302456716,32,14,0.11978094533348621,RMSprop,24,32.0,16.0
5,0.9023,2.140166377648711,307658,3,128,96.0,0.06459367085984859,256,14,0.1289708138575778,SGD,28,96.0,
6,0.8763,0.9694856591522694,163450,4,96,96.0,0.01735698209081424,64,4,0.18385790152971676,RMSprop,20,48.0,64.0
7,0.9125,0.517518725246191,109066,3,64,64.0,0.0007644457600399744,64,10,0.4680773870803905,Adam,20,64.0,
8,0.9002,0.7066780934110284,108858,4,128,48.0,0.0059224278919224604,128,4,0.2611216300274022,Adam,28,64.0,32.0
9,0.8917,0.5355804227292538,160074,3,32,64.0,0.009562955396652199,64,10,0.20980003121389496,RMSprop,20,128.0,
10,0.9132,0.6865254137665033,74842,4,16,64.0,0.008508728286362328,128,15,0.45267532097803187,Adam,24,48.0,64.0
11,0.8893,0.38228961639106274,207018,2,16,32.0,0.01785847026161885,64,13,0.17040177012650892,Adam,28,,
12,0.875,0.6248835474252701,216522,3,128,64.0,0.023380534127606184,256,8,0.4438520913791499,Adam,16,128.0,
13,0.807,0.5440739449113607,290346,3,128,96.0,0.00021557204762564085,32,4,0.05876312338855244,SGD,16,128.0,
14,0.8999,0.3758117090910673,1206218,1,48,,0.09525644914201474,128,11,0.3478743444923086,SGD,28,,
15,0.4183,0.6404080661013722,91930,4,32,64.0,0.000136664592368374,256,4,0.29706535767606757,SGD,16,96.0,16.0
16,0.9043,0.4465092672035098,886730,1,48,,0.06828057813442882,32,15,0.30308731722544,SGD,24,,
17,0.8639,0.590221956372261,83338,4,96,48.0,0.03864480553672628,32,6,0.22956787811913065,Adam,16,64.0,16.0
18,0.9041,0.489250011742115,3214218,1,128,,0.002641708665463026,32,5,0.1392951695159793,Adam,28,,
19,0.7403,0.5062648095190525,179610,3,128,48.0,0.00012883967145102277,128,9,0.053586005669888026,SGD,20,128.0,
20,0.8913,0.33290935680270195,886730,1,48,,0.0031284311157851784,256,8,0.06379015139778188,RMSprop,24,,
21,0.8656,0.4204590106382966,1051530,1,128,,0.00033122322840389184,32,15,0.05601945108402617,SGD,16,,
22,0.8918,0.5409578094258904,84842,4,64,96.0,0.011079193990007919,32,7,0.4647645721239129,SGD,20,16.0,48.0
23,0.9019,0.4815545864403248,112874,3,32,128.0,0.017491543744348647,128,10,0.45323605548227347,RMSprop,28,32.0,
24,0.803,0.48517321702092886,95930,3,32,96.0,0.0002816775807513468,64,12,0.2713622216737981,SGD,16,48.0,
25,0.8618,0.6239597219973803,83306,4,128,16.0,0.04070887363880805,64,7,0.4014267242990057,RMSprop,20,96.0,48.0
26,0.7639,1.3514684280380607,109178,3,128,32.0,0.09786395331218446,256,5,0.4490271447203569,Adam,28,48.0,
27,0.8827,0.4707175074145198,86250,2,64,32.0,0.00011916783985028135,64,5,0.1155373982940357,Adam,16,,
28,0.7801,0.3157030092552304,395210,1,48,,0.00041205281577215555,64,5,0.013266101936909858,SGD,16,,
29,0.1,0.3921524388715625,81450,2,48,32.0,0.04826770843549192,32,10,0.31673910991307364,RMSprop,16,,
30,0.8801,0.3388189012184739,132682,1,16,,0.030847886273764172,256,14,0.29870655108515415,SGD,16,,
31,0.9119,0.3400613088160753,591626,1,32,,0.0007346512304318004,64,9,0.33183558268132407,Adam,24,,
32,0.8967,0.37873038090765476,350954,2,48,96.0,0.012136386887218596,64,14,0.0684093154594807,Adam,20,,
33,0.1,0.5403651855885983,187706,3,128,16.0,0.06804550904198496,64,13,0.01850381735774631,Adam,28,128.0,
34,0.8988,0.3782751504331827,1641354,1,128,,0.007040274045310667,128,14,0.264468567013606,RMSprop,20,,
35,0.8524,0.771560100838542,61226,3,32,48.0,0.00045160803844806026,32,14,0.47236601114570514,SGD,16,48.0,
36,0.8958,0.5447173491120338,364170,3,128,128.0,0.0004713263449833794,128,4,0.4387304313151902,RMSprop,16,128.0,
37,0.9243,0.4947820445522666,182714,3,96,96.0,0.000632535362979874,32,14,0.3541814883575174,Adam,28,48.0,
38,0.908,0.5774899153038859,33370,4,32,32.0,0.06252940793270145,64,6,0.3540860443226408,SGD,28,16.0,64.0
39,0.8939,0.589889450930059,199466,4,48,128.0,0.0019815471157701753,32,6,0.4919888239799141,SGD,24,64.0,96.0
40,0.8517,0.5867754807695746,116234,4,32,128.0,0.024698882377426283,64,8,0.23996941735856175,RMSprop,16,32.0,96.0
41,0.8794,0.3612604457885027,591626,1,32,,0.004774699570297263,128,7,0.016601554395683282,SGD,24,,
42,0.8723,0.37017264403402805,789002,1,96,,0.004206191156087537,64,7,0.4074125568732561,SGD,16,,
43,0.8406,0.4976770142093301,99578,3,96,16.0,0.0003968508846741037,32,9,0.43413625270419026,SGD,24,64.0,
44,0.8951,1.4932162128388882,164298,4,128,64.0,0.04094960376542717,256,5,0.19554076832588035,Adam,28,96.0,32.0
45,0.9125,1.3959396863356233,478282,2,128,64.0,0.0001288291913588702,256,13,0.2926771821983761,Adam,28,,
46,0.8247,0.29466901905834675,395210,1,48,,0.00027863110859382685,32,11,0.43395914726001106,SGD,16,,
47,0.8995,0.46122409403324127,220266,3,48,96.0,0.01171062982563318,32,11,0.05329651515399536,SGD,16,128.0,
48,0.903,0.4832538543269038,125162,3,32,64.0,0.0022186094978467927,64,10,0.3341063992775081,Adam,16,96.0,
49,0.9111,0.4154064226895571,279578,2,128,48.0,0.00875838722895397,128,15,0.1758113436198172,SGD,24,,
50,0.7535,0.5363295320421457,121178,2,48,48.0,0.00011916783985028135,64,11,0.1155373982940357,SGD,16,,
51,0.7117,0.41350030805915594,395210,1,48,,0.00034950069894708395,256,5,0.3478743444923086,SGD,16,,
52,0.7797,0.30234712176024914,395210,1,48,,0.00021557204762564085,32,4,0.43395914726001106,SGD,16,,
53,0.8098,0.29453050810843706,395210,1,48,,0.03864480553672628,32,12,0.2713622216737981,Adam,16,,
54,0.9145,0.5927097983658314,261530,3,128,48.0,0.0007644457600399744,128,4,0.4680773870803905,Adam,28,128.0,
55,0.8861,0.4810983082279563,2362250,1,128,,0.00875838722895397,64,9,0.33183558268132407,Adam,24,,
