trial,accuracy,inference_ms,n_parameters,n_conv_layers,channels_0,channels_1,channels_2,channels_3,learning_rate,batch_size,n_epochs,dropout_rate,optimizer_type,input_resolution
4,0.8983,0.6177365314215422,15370,4,16,16.0,32.0,16.0,0.0001290211302456716,32,14,0.11978094533348621,RMSprop,24
7,0.9125,0.517518725246191,109066,3,64,64.0,64.0,,0.0007644457600399744,64,10,0.4680773870803905,Adam,20
10,0.9132,0.6865254137665033,74842,4,16,64.0,48.0,64.0,0.008508728286362328,128,15,0.45267532097803187,Adam,24
11,0.8893,0.38228961639106274,207018,2,16,32.0,,,0.01785847026161885,64,13,0.17040177012650892,Adam,28
20,0.8913,0.33290935680270195,886730,1,48,,,,0.0031284311157851784,256,8,0.06379015139778188,RMSprop,24
22,0.8918,0.5409578094258904,84842,4,64,96.0,16.0,48.0,0.011079193990007919,32,7,0.4647645721239129,SGD,20
23,0.9019,0.4815545864403248,112874,3,32,128.0,32.0,,0.017491543744348647,128,10,0.45323605548227347,RMSprop,28
29,0.1,0.3921524388715625,81450,2,48,32.0,,,0.04826770843549192,32,10,0.31673910991307364,RMSprop,16
30,0.8801,0.3388189012184739,132682,1,16,,,,0.030847886273764172,256,14,0.29870655108515415,SGD,16
31,0.9119,0.3400613088160753,591626,1,32,,,,0.0007346512304318004,64,9,0.33183558268132407,Adam,24
32,0.8967,0.37873038090765476,350954,2,48,96.0,,,0.012136386887218596,64,14,0.0684093154594807,Adam,20
37,0.9243,0.4947820445522666,182714,3,96,96.0,48.0,,0.000632535362979874,32,14,0.3541814883575174,Adam,28
38,0.908,0.5774899153038859,33370,4,32,32.0,16.0,64.0,0.06252940793270145,64,6,0.3540860443226408,SGD,28
46,0.8247,0.29466901905834675,395210,1,48,,,,0.00027863110859382685,32,11,0.43395914726001106,SGD,16
48,0.903,0.4832538543269038,125162,3,32,64.0,96.0,,0.0022186094978467927,64,10,0.3341063992775081,Adam,16
49,0.9111,0.4154064226895571,279578,2,128,48.0,,,0.00875838722895397,128,15,0.1758113436198172,SGD,24
53,0.8098,0.29453050810843706,395210,1,48,,,,0.03864480553672628,32,12,0.2713622216737981,Adam,16
56,0.901,0.40635522454977036,85178,2,64,16.0,,,0.00011916783985028135,32,6,0.1155373982940357,Adam,24
