trial,accuracy,inference_ms,n_parameters,n_conv_layers,channels_0,channels_1,learning_rate,batch_size,n_epochs,dropout_rate,optimizer_type,input_resolution,channels_2,channels_3
0,0.9108,0.6648080889135599,458090,2,16,96.0,0.0004335281794951569,256,8,0.14561457009902096,Adam,24,,
1,0.916,1.6141006024554372,104570,3,128,16.0,0.0008612579192594886,256,13,0.46974947078209456,RMSprop,28,64.0,
2,0.893,0.6096771918237209,316826,2,32,48.0,0.02795015916508337,128,7,0.05793452976256486,Adam,28,,
3,0.8939,0.5345497047528625,128666,3,16,16.0,0.001702741688676441,32,5,0.46484882617128653,RMSprop,24,96.0,
4,0.8984,0.7305012084543705,15370,4,16,16.0,0.0001290211302456716,32,14,0.11978094533348621,RMSprop,24,32.0,16.0
5,0.9025,1.7292691743932664,307658,3,128,96.0,0.06459367085984859,256,14,0.1289708138575778,SGD,28,96.0,
6,0.8875,0.6315844017080963,163450,4,96,96.0,0.01735698209081424,64,4,0.18385790152971676,RMSprop,20,48.0,64.0
7,0.9118,0.5260978126898408,109066,3,64,64.0,0.0007644457600399744,64,10,0.4680773870803905,Adam,20,64.0,
8,0.9021,0.9216226055286825,108858,4,128,48.0,0.0059224278919224604,128,4,0.2611216300274022,Adam,28,64.0,32.0
9,0.8791,0.6970623973757029,160074,3,32,64.0,0.009562955396652199,64,10,0.20980003121389496,RMSprop,20,128.0,
10,0.9013,0.9330073953606188,74842,4,16,64.0,0.008508728286362328,128,15,0.45267532097803187,Adam,24,48.0,64.0
11,0.8841,0.5647068144753575,207018,2,16,32.0,0.01785847026161885,64,13,0.17040177012650892,Adam,28,,
12,0.881,0.8230576175265014,216522,3,128,64.0,0.023380534127606184,256,8,0.4438520913791499,Adam,16,128.0,
13,0.8069,0.7426082855090499,290346,3,128,96.0,0.00021557204762564085,32,4,0.05876312338855244,SGD,16,128.0,
14,0.9011,0.5777740734629333,1206218,1,48,,0.09525644914201474,128,11,0.3478743444923086,SGD,28,,
15,0.4183,0.715495110489428,91930,4,32,64.0,0.000136664592368374,256,4,0.29706535767606757,SGD,16,96.0,16.0
16,0.9072,0.5274267983622849,886730,1,48,,0.06828057813442882,32,15,0.30308731722544,SGD,24,,
17,0.8382,0.6183424033224583,83338,4,96,48.0,0.03864480553672628,32,6,0.22956787811913065,Adam,16,64.0,16.0
18,0.9041,0.6111678783781826,3214218,1,128,,0.002641708665463026,32,5,0.1392951695159793,Adam,28,,
19,0.7403,0.8992987568490207,179610,3,128,48.0,0.00012883967145102277,128,9,0.053586005669888026,SGD,20,128.0,
